Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
67,"St Andrew's RC School, Leatherhead",Leatherhead,Comprehensive,17,53.4,85,29=,51.6,142,125275,St Andrew's Catholic School,107.1,64.3
191,The Langton Grammar School for Boys,Canterbury,Selective (100%),12.7,34.3,61.9,231,51.4,144,118884,Simon Langton Grammar School for Boys,112.3,66
141,"Gordon's School, Woking",Woking,Comprehensive,13,39.6,70.9,129,51.2,145,139151,Gordon's School,107.7,64.5
205,The Hertfordshire and Essex High School and Science College,Bishop's Stortford,Partially selective (10%),7.6,29.5,60.8,245=,51.1,146,140786,The Hertfordshire & Essex High School and Science College,109.1,63.3
75,West London Free School,London,Partially selective (9%),-,52,83,41,51,147,136750,West London Free School,108,63.8
115,Mossbourne Community Academy,London,Comprehensive,18,-,75,88,51,147,134693,Mossbourne Community Academy,105.3,64
202,Wembley High Technology College,London,Comprehensive,-,35,61,241=,51,147,138457,Wembley High Technology College,106.5,65
207,Roundwood Park School,Harpenden,Comprehensive,9.1,32.6,60.5,247,50.8,150,136973,Roundwood Park School,108.4,62.5
205,West Kirby Grammar School,West Kirby,Selective (100%),10.1,34.4,61,241=,50.8,150,137243,West Kirby Grammar School,112.2,68.3
94,JCoss (Jewish Community Secondary School),London,Comprehensive,20.8,48.8,80.5,55,50.4,152,135747,JCoSS,107.2,61.1
105,Sandringham School,St Albans,Comprehensive,15.8,46,77.3,70,50.3,153,136609,Sandringham School,108,64.6
148,Portadown College,Portadown,Selective (100%),13.3,37.1,69.5,145=,50.3,153,999999,not an English school,#N/A,#N/A
149,The Wallace High School,Lisburn,Selective (100%),9.5,37.4,69.5,145=,50.1,155,999999,not an English school,#N/A,#N/A
